method,contrast,feature_mode,direction,question_set,quintile,n_questions,positive_rate,suppressed_rate,forgotten_rate,retained_rate,mean_projection_score,projection_score_min,projection_score_max
RepNoise,forgotten_vs_retained,correct_only,mean_difference,Qstar,5,75,0.44,0.0,0.44,0.56,1.264838198823352,0.6820230122439284,3.6691467130041695
TAR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,1,49,0.7346938775510204,0.7346938775510204,0.2653061224489796,0.0,-1.1853526276758783,-2.373381594739073,-0.6886750236319596
TAR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,2,49,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.0,-0.3647627695631657,-0.685903835114431,-0.1129629993384317
TAR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,3,48,0.8541666666666666,0.8541666666666666,0.1458333333333333,0.0,0.1199186791309919,-0.0985580736567064,0.3004124259005166
TAR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,4,49,0.7755102040816326,0.7755102040816326,0.2244897959183673,0.0,0.4821156030831564,0.3038749897906218,0.6456528433968968
TAR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,5,49,0.8163265306122449,0.8163265306122449,0.1836734693877551,0.0,0.950528435007161,0.6593659215477042,1.5052867481776526
TAR,suppressed_vs_retained,correct_only,mean_difference,Qstar,1,120,0.175,0.175,0.0,0.825,-0.9362723909334087,-2.492680385528038,-0.4823507017607672
TAR,suppressed_vs_retained,correct_only,mean_difference,Qstar,2,119,0.2689075630252101,0.2689075630252101,0.0,0.7310924369747899,-0.2973593380973641,-0.4808653263940859,-0.1245464111555999
TAR,suppressed_vs_retained,correct_only,mean_difference,Qstar,3,120,0.3416666666666667,0.3416666666666667,0.0,0.6583333333333333,0.0407080505665384,-0.1240274546644054,0.1843575144550524
TAR,suppressed_vs_retained,correct_only,mean_difference,Qstar,4,119,0.3109243697478991,0.3109243697478991,0.0,0.6890756302521008,0.3671825385522489,0.1854398953337659,0.5288083040811711
TAR,suppressed_vs_retained,correct_only,mean_difference,Qstar,5,120,0.4916666666666666,0.4916666666666666,0.0,0.5083333333333333,0.8263229999157763,0.5294330997652643,1.6351320361808142
